ID,id_ubi,CO2,Temperature,Humidity,Timestamp
1,2,102,26.60,64.50,3.05
2,2,106,27.30,63.30,5.07
3,2,108,27.30,63.30,7.08
4,2,107,27.60,62.00,9.1
5,2,108,27.60,62.00,11.12
6,2,110,27.70,62.00,13.14
7,2,110,27.70,62.00,15.15
8,2,111,27.70,62.90,17.17
9,2,112,27.70,62.90,19.18
10,2,112,27.70,63.40,21.2
11,2,112,27.70,63.40,23.22
12,2,114,27.70,62.40,25.24
13,2,113,27.70,62.40,27.25
14,2,113,27.80,63.00,29.27
15,2,114,27.80,63.00,31.28
16,2,113,28.00,62.10,33.3
17,2,112,28.00,62.10,35.32
18,2,112,28.00,62.20,37.34
19,2,113,28.00,62.20,39.35
20,2,114,28.00,63.00,41.37
21,2,114,28.00,63.00,43.38
22,2,113,28.00,62.10,45.4
23,2,113,28.00,62.10,47.42
24,2,113,28.10,62.20,49.44
25,2,114,28.10,62.20,51.45
26,2,114,28.10,62.30,53.47
27,2,113,28.10,62.30,55.48
28,2,114,28.00,62.40,57.5
29,2,113,28.00,62.40,59.52
30,3,111,27.70,62.60,1.04
31,3,113,27.70,62.60,3.05
32,3,112,28.20,61.70,5.07
33,3,111,28.20,61.70,7.08
34,3,112,28.50,61.40,9.1
35,3,113,28.50,61.40,11.12
36,3,110,28.50,61.50,13.14
37,3,111,28.50,61.50,15.15
38,3,111,28.50,61.60,17.17
39,3,111,28.50,61.60,19.18
40,3,112,28.50,61.30,21.2
41,3,112,28.50,61.30,23.22
42,3,113,28.50,61.50,25.24
43,3,111,28.50,61.50,27.25
44,3,110,28.60,61.60,29.27
45,3,112,28.60,61.60,31.29
46,3,111,28.40,61.50,33.3
47,3,111,28.40,61.50,35.32
48,3,111,28.50,61.60,37.34
49,3,111,28.50,61.60,39.35
50,3,111,28.50,61.50,41.37
51,3,111,28.50,61.50,43.38
52,3,111,28.60,61.20,45.41
53,3,111,28.60,61.20,47.42
54,3,111,28.50,61.50,49.44
55,3,112,28.50,61.50,51.45
56,3,112,28.40,61.40,53.47
57,3,112,28.40,61.40,55.48
58,3,113,28.60,61.50,57.51
59,3,110,28.60,61.50,59.52
60,4,111,27.40,63.20,1.04
61,4,110,27.40,63.20,3.05
62,4,110,28.50,61.60,5.07
63,4,110,28.50,61.60,7.08
64,4,111,28.70,60.50,9.1
65,4,110,28.70,60.50,11.12
66,4,111,28.70,60.80,13.14
67,4,110,28.70,60.80,15.15
68,4,109,28.70,60.90,17.17
69,4,110,28.70,60.90,19.18
70,4,110,28.70,60.40,21.2
71,4,110,28.70,60.40,23.22
72,4,110,28.70,60.70,25.24
73,4,109,28.70,60.70,27.25
74,4,112,28.70,61.00,29.27
75,4,110,28.70,61.00,31.29
76,4,111,28.80,60.10,33.3
77,4,109,28.80,60.10,35.32
78,4,111,28.90,60.10,37.34
79,4,110,28.90,60.10,39.35
80,4,112,28.90,60.30,41.37
81,5,111,28.40,61.20,1.04
82,5,111,28.40,61.20,3.05
83,5,111,28.80,60.60,5.07
84,5,109,28.80,60.60,7.08
85,5,110,28.90,60.50,9.1
86,5,112,28.90,60.50,11.12
87,5,108,28.90,60.60,13.14
88,5,112,28.90,60.60,15.15
89,5,109,29.00,60.70,17.17
90,5,110,29.00,60.70,19.18
91,5,110,29.00,60.60,21.2
92,5,109,29.00,60.60,23.22
93,5,111,28.90,60.70,25.24
94,5,110,28.90,60.70,27.25
95,5,110,29.10,60.30,29.27
96,5,111,29.10,60.30,31.28
97,5,110,29.00,59.80,33.3
98,5,110,29.00,59.80,35.32
99,5,110,29.00,59.40,37.34
100,6,109,28.10,61.50,1.04
101,6,109,28.10,61.50,3.05
102,6,111,28.90,60.30,5.07
103,6,110,28.90,60.30,7.08
104,6,110,29.00,59.40,9.1
105,6,109,29.00,59.40,11.12
106,6,110,28.90,59.80,13.14
107,6,110,28.90,59.80,15.15
108,6,110,28.90,60.30,17.17
109,6,110,28.90,60.30,19.18
110,6,111,28.90,60.40,21.2
111,7,111,28.20,60.80,1.04
112,7,111,28.20,60.80,3.05
113,7,112,28.90,60.70,5.07
114,7,111,28.90,60.70,7.08
115,7,111,28.80,60.10,9.1
116,7,110,28.80,60.10,11.12
117,7,109,28.80,59.90,13.14
118,7,109,28.80,59.90,15.15
119,7,111,28.90,60.30,17.17
120,7,110,28.90,60.30,19.18
121,7,111,29.00,59.80,21.2
122,7,109,29.00,59.80,23.22
123,7,109,29.00,59.90,25.24
124,7,110,29.00,59.90,27.25
125,7,110,29.00,59.80,29.27
126,7,111,29.00,59.80,31.29
127,7,110,28.90,60.20,33.3
128,7,109,28.90,60.20,35.32
129,7,111,29.00,59.40,37.34
130,7,111,29.00,59.40,39.35
131,7,110,29.00,59.70,41.37
132,7,110,29.00,59.70,43.38
133,7,110,29.00,59.90,45.41
134,7,110,29.00,59.90,47.42
135,7,111,29.00,59.40,49.44
136,7,111,29.00,59.40,51.45
137,7,109,28.90,59.40,53.47
138,7,111,28.90,59.40,55.49
139,7,111,29.10,59.50,57.51
140,7,111,29.10,59.50,59.52
141,8,61,24.30,70.00,1.04
142,8,66,24.30,70.00,3.05
143,8,74,25.20,67.40,5.07
144,8,80,25.20,67.40,7.08
145,8,88,25.40,67.20,9.1
146,9,113,26.40,66.40,1.04
147,9,114,26.40,66.40,3.05
148,10,112,25.50,67.80,1.04
149,10,115,25.50,67.80,3.05
150,10,112,27.10,64.40,5.07
151,10,115,27.10,64.40,7.08
152,10,114,27.10,64.60,9.1
153,11,110.0,27.5,62.9,1.04
154,11,111.0,27.5,62.9,3.05
155,11,112.0,28.2,61.4,5.07
156,11,111.0,28.2,61.4,7.08
157,11,110.0,28.2,62.1,9.1
158,11,110.0,28.2,62.1,11.12
159,11,112.0,28.3,61.9,13.14
160,12,110.0,27.3,62.4,1.04
161,12,111.0,27.3,62.4,3.05
162,12,110.0,28.2,61.1,5.07
163,12,111.0,28.2,61.1,7.08
164,12,111.0,28.2,61.4,9.1
165,12,111.0,28.2,61.4,11.12
166,13,109.0,27.9,62.3,1.04
167,13,111.0,27.9,62.3,3.05
168,13,109.0,28.1,61.9,5.07
169,13,110.0,28.1,61.9,7.08
170,13,110.0,28.5,61.7,9.1
171,13,112.0,28.5,61.7,11.12
172,13,110.0,28.5,61.2,13.14
173,14,109.0,26.9,62.4,1.04
174,14,110.0,26.9,62.4,3.05
175,14,110.0,28.5,60.3,5.07
176,14,109.0,28.5,60.3,7.08
177,14,110.0,28.5,60.4,9.1
178,15,109.0,27.7,61.6,1.04
179,15,110.0,27.7,61.6,3.05
180,15,109.0,28.6,60.5,5.07
181,15,109.0,28.6,60.5,7.08
182,15,109.0,28.7,60.5,9.1
183,15,108.0,28.7,60.5,11.12
184,16,108.0,27.7,61.9,1.04
185,16,110.0,27.7,61.9,3.05
186,16,110.0,28.6,60.6,5.07
187,16,108.0,28.6,60.6,7.08
188,16,109.0,28.5,60.7,9.1
189,17,109.0,27.6,61.4,1.04
190,17,109.0,27.6,61.4,3.05
191,17,109.0,28.7,60.6,5.07
192,17,108.0,28.7,60.6,7.08
193,17,109.0,28.6,60.5,9.1
194,17,108.0,28.6,60.5,11.12
195,17,109.0,28.7,60.6,13.14
196,17,109.0,28.7,60.6,15.15
197,17,109.0,28.6,60.6,17.17
198,17,109.0,28.6,60.6,19.18
199,18,110.0,28.4,60.0,1.04
200,18,108.0,28.4,60.0,3.05
201,18,109.0,28.6,59.7,5.07
202,18,108.0,28.6,59.7,7.08
203,18,109.0,28.8,59.3,9.1
204,18,108.0,28.8,59.3,11.12
205,18,110.0,28.9,59.2,13.14
206,18,108.0,28.9,59.2,15.15
207,19,109.0,28.0,60.7,1.04
208,19,108.0,28.0,60.7,3.05
209,19,108.0,28.7,59.1,5.07
210,19,109.0,28.7,59.1,7.08
211,19,108.0,28.8,59.1,9.1
212,20,108.0,28.3,59.5,1.04
213,20,108.0,28.3,59.5,3.05
214,20,108.0,29.2,58.5,5.07
215,20,108.0,29.2,58.5,7.08
216,20,110.0,29.2,58.1,9.1
217,20,106.0,29.2,58.1,11.12
218,20,109.0,29.4,58.2,13.14
219,20,109.0,29.4,58.2,15.15
220,20,108.0,29.2,58.2,17.17
221,20,108.0,29.2,58.2,19.18
222,20,108.0,29.4,58.4,21.2
223,20,106.0,29.4,58.4,23.22
224,20,110.0,29.4,58.3,25.24
225,20,109.0,29.4,58.3,27.25
226,21,111.0,28.1,60.2,1.04
227,21,110.0,28.1,60.2,3.05
228,21,110.0,28.9,59.5,5.07
